website,emails,phone_numbers
https://climasenergy.com/,"{'press@climasenergy.com', 'mb@climasenergy.com'}",{'+4591534141'}
https://thebamandboo.com/,"{'retail@thebamandboo.com', 'info@thebamandboo.com', 'contact@lisbonmarketingunited.com'}",set()
https://customiseme.dk/,"{'info@customiseme.dk', '08@gmail.com'}",{'42657603'}
https://simreka.com/,"{'info@simreka.com', 'hello@simreka.com', '20hello@simreka.com', 'demo@devtaar.com', 'HELLO@SIMREKA.COM'}","{'+31308080139', '+4915145084654', '+917892219428'}"
https://www.doghammer.de/,"{'team@doghammer.de', '1920x1920@2x.jpg', '800x800@2x.jpg', 'service@quotatis.de', '600x600@2x.jpg', '1280x1280@2x.jpg', '200x200@2x.jpg'}","{'5113815', '080317968736', '+4980317968736', '7968736', '80317968736'}"
https://www.demkip.dk/,set(),set()
https://www.budge-app.com/,set(),set()
https://www.ffs.co.uk/,"{'info@ffs.co.uk', 'affiliates@ffs.co.uk', 'cancel@ffs.co.uk'}","{'034540405', '09390238', '01543648044'}"
https://hyjack.tech/,"{'kobayashi@hyjack.tech', 'liedes@hyjack.tech', 'ibrahim@hyjack.tech', 'martinez@hyjack.tech', 'contact@hyjack.tech', 'thumb@2x.jpg'}","{'42476141900045', '10069020'}"
https://betterfish.de/,"{'info@themepunch.com', 'hello@bettafish.co'}","{'9999995', '9999999'}"
https://glasbote.com/,"{'1024x1024@2x.jpg', 'info@glasbote.com', 'kutten@glasbote.com'}","{'17680378848', '80378848'}"
https://taxymatch.com/fr,{'team@taxymatch.com'},set()
https://www.decibel.live/,set(),set()
https://agrodronegroup.ru/,set(),set()
https://myzun.de/,{'info@myzun.de'},{'+4961035096868'}
https://www.onego.bio/,"{'hello@onego.bio', 'huomo@vtt.fi'}",{'+358440593313'}
https://kriim.com/,"{'customer@kriim.com', '50x@3x.jpg', '450x@3x.jpg', 'small@3x.jpg', '450x@2x.jpg', '700x@3x.jpg', '1200x@3x.jpg', 'info@kriim.com', '1200x@2x.jpg', 'distribucion@kriim.com', '700x@2x.jpg', '50x@2x.jpg', 'small@2x.jpg'}","{'+349354611', '935461139', '935160782', '912604282', '935462789', '931525061', '935008817', '955189987', '+34934104644', '934104644'}"
https://www.wts-online.eu/,set(),{'+4915118947012'}
https://en.assetta.de/,{'support@assetta.de'},{'51191163690'}
https://www.verdox.com/,"{'hr@verdox.com', 'info@verdox.com'}",set()
https://connectedyou.io/,"{'partners@connectedyou.io', 'hiring@connectedyou.io', 'sales@connectedyou.io', 'info@connectedyou.io'}",set()
https://aldousbio.com/,"{'info@Aldousbio.com.El', 'info@Aldousbio.com', 'info@AldousBio.com', 'INFO@ALDOUSBIO.COM', 'info@aldousbio.com', 'INO@ALDOUSBIO.COM', 'ino@aldousbio.com'}",{'3716431'}
https://www.pharm2farm.org/,{'info@pharm2farm.org'},{'3333580478'}
https://www.bestgreen.dk/,"{'kontakt@bestgreen.dk', 'GDPR@bestgreen.dk'}","{'+4541772465', '+4569153999'}"
https://getswitch.io/,{'forte@getswitch.io'},set()
https://www.agvolution.com/,{'contact@agvolution.com'},{'55127075944'}
https://voltwall.constantcontactsites.com/,"{'aldo@voltWALL.com', 'installers@voltWALL.com', 'utilitytrials@voltWALL.com', 'aldo@voltwall.com'}",set()
https://coyotecannabisco.com/,{'contact@coyotecannabisco.com'},set()
https://valyuu.com/en,"{'hello@valyuu.com', 'merchant@valyuu.com'}",set()
https://takewheels.com/,"{'nhuber@wheels.co', 'stjohns@wheels.co', 'umb@wheels.co', 'partners@wheels.co', 'wheels@thekeypr.com', 'ucla@wheels.co'}",set()
https://fotonow.ai/,"{'info@fotonow.com', 'info@deutschdata.com', 'sales@deutschdata.com', 'ziesche@fotonow.ai', 'info@fotonow.ai'}",set()
https://www.climatecamp.io/,"{'stijn@climatecamp.io', 'hello@climatecamp.io'}",{'+32497449367'}
https://www.unlimitedev.com/,{'contact@unlimitedev.com'},{'+34937637951'}
https://www.solarinspectron.ai/,{'info@solarinspectron.ai'},set()
https://skoot.eco/,"{'help@SKOOT.eco', 'info@SKOOT.eco', 'dpo@skootride.com', 'uk@skootrtide.com', 'uk@skootride.com', 'SKOOTPR@itsprettygreen.com', 'help@skootride.com', 'contact@zapier.com'}","{'11982528', '3276045'}"
https://www.pavnext.com/,{'main@pavnext.com'},set()
https://aroundrs.it/,"{'daniele@aroundrs.it', 'mark@bamboorocketapps.com', 'aroundrs@legalmail.it', 'hello@aroundrs.it', 'alberto@aroundrs.it', 'HELLO@AROUNDRS.IT', 'italia@gmail.com', 'giulia@aroundrs.it', 'hello@aroundrs.com'}",set()
https://www.finsu.co.uk/,set(),set()
https://www.co2opt.com/,{'info@co2opt.com'},{'+4915152568294'}
https://lionlocs.com/,{'info@lionlocs.com'},set()
https://www.energiga.eu/,set(),set()
https://www.pledge.io/,{'privacy@pledge.io'},"{'3830732', '13236799'}"
https://www.altaii.com/,set(),set()
https://egico.pl/,"{'hello@egico.pl', 'info@themepunch.com'}","{'1468926', '9999995', '9999999', '+48146892625'}"
https://ecothea.it/,"{'info@ecothea.it', 'info@themepunch.com', 'ecothea@legalmail.it'}",set()
https://www.airify.eu/,set(),set()
https://www.intergrid.it/,set(),set()
https://elmodis.com/,{'elmodis@elmodis.com'},"{'+48531507', '+48531507668'}"
https://www.emnandi.com/,{'info@emnandi.com'},{'+447375121237'}
https://www.lancey.fr/,{'contact@lancey.fr'},"{'821204955', '0458003696', '58003696', '0476213805'}"
https://mx3d.com/,"{'internship@mx3d.com', 'jobs@mx3d.com', 'MX3D@3x.jpg', 'invest@mx3d.com', 'press@mx3d.com', 'info@mx3d.com', 'projects@mx3d.com', 'XL@3x.jpg'}","{'207372450', '+31207372450'}"
https://www.thoughtsofseptember.com/,"{'hell@thoughtsofseptember.com', 'hello@thoughtsofseptember.com'}",{'+41775108725'}
https://greengames.app/,{'team@greengames.app'},{'+393489851657'}
https://www.claviate.com/,set(),set()
https://blackteamotorbikes.com/,"{'20service@blackteamotorbikes.com', 'hi@blackteamotorbikes.com', 'service@blackteamotorbikes.com'}",{'+4915259649727'}
https://carcel.co/,"{'600x@2x.JPG', '600x@2x.jpg', '1600x@2x.jpg', '528x@2x.jpg', '1200x@2x.JPG', '396x@2x.jpg', '264x@2x.jpg', '800x@2x.JPG', '800x@2x.jpg', '1400x@2x.jpg', '1400x@2x.JPG', '1600x@2x.JPG', 'hey@carcel.co', '1200x@2x.jpg', '462x@2x.jpg', '198x@2x.jpg'}",{'42293687'}
https://www.eupravnik.eu/,set(),set()
https://www.grandipizza.com/,"{'natalie@outfly.io', 'fabio@grandipizza.com'}",{'03031231113'}
https://www.m-flowers.com/,set(),set()
https://carbo-control.com/,{'info@novocarbo.com'},"{'+49407407706', '407407706'}"
https://wir-liefern-deine-fensterbank.de/,"{'1920x1920@2x.jpg', '1280x1280@2x.jpg', '800x800@2x.jpg', '600x600@2x.jpg', '200x200@2x.jpg'}",{'340498889'}
https://www.soleoecosolutions.com/,{'contact@soleoecosolutions.com'},set()
https://www.nakpack.it/,{'hello@nakpack.com'},{'+390287168395'}
http://akwatyx.com/,{'info@themepunch.com'},{'2147483647'}
https://www.node.energy/,"{'info@node.energ', 'datenschutz@dhpg.de', 'jobs@node.energ', 'sales@node.energ', 'dudek@node.energ'}","{'+4969999993980', '+4969999993981'}"
http://www.wmoove.com/,set(),set()
https://recyclegeeks.pt/,{'info@recyclegeeks.pt'},{'+351910540370'}
https://carwatt.net/fr/accueil/,set(),set()
https://www.relade.eu/,set(),set()
https://www.powerup-tech.com/,set(),"{'+3725036963', '+37253591093'}"
https://murfy.fr/,"{'personnelles@murfy.fr', 'help@murfy.fr', 'serviceclient@murfy.fr', 'bonjour@murfy.fr'}","{'09751803', '832233571', '0975180392'}"
https://woodie-milano.com/,"{'info@woodie.it', 'ciao@woodie.it', 'hotels@woodie.it', 'press@woodie.it', 'support@woodie.it'}",set()
https://markta.at/,"{'office@markta.at', 'support@markta.at', 'datenschutz@markta.at', 'partner@markta.at'}","{'+436769235642', '+436601105343', '072838542', '52117250', '+4377475221', '+436641809575', '+432711224', '4026870', '9507414', '+4369912569228', '+436763401922', '+433385312', '06509112100', '+43317825250', '+4365887616', '06641329268', '0252288337', '+432735', '+43268261008'}"
https://www.doverenewables.co.uk/,set(),set()
https://www.kulero.de/,"{'email@beispiel.com', 'juliane@kulero.de', 'sales@kulero.de', 'kontakt@kulero.de', 'schoening@kulero.de'}","{'+4955127071380', '+4955127071381', '+4915175864185', '+4915143420190'}"
https://www.highperformancebattery.ch/de/,{'info@highperformancebattery.ch'},set()
https://winningfoods.nl/,"{'floris@winningfoods.nl', 'hello@winningfoods.nl', 'jef@winningfoods.nl', 'frederik@winningfoods.nl', '08@gmail.com', 'hallo@winningfoods.nl', 'Floris@winningfoods.nl', 'bonjour@winningfoods.nl'}",{'82537702'}
https://www.greencloudnine.com/info,{'info@greencloudnine.com'},set()
https://www.wasteant.com/,{'info@wasteant.com'},{'+494212003182'}
https://sustainiq.com/,"{'hello@sustainiq.com', 'hello@sustainiq.co.uk'}",{'95210508'}
https://scoutvision.de/?page_id=88&lang=en,{'info@scoutvision.de'},set()
https://www.solidwater.life/,"{'1024x1024@2x.jpg', 'contact@solidwater.onlin', 'sales@solidwater.onlin', '580x@2x.jpg', 'info@solidwater.life', 'info@solidwater.onlin'}",{'66211921'}
https://www.globalagrimonitor.org/,"{'info@globalagrimonitor.org', 'info@gam.com', 'mark@bamboorocketapps.com'}",{'1604334626'}
